,no,userid,version,sum_gameround,retention_1,retention_7
7592,17110,1906618,gate_30,65,1,0
7593,17111,1906741,gate_30,47,1,0
7594,17113,1906845,gate_30,7,1,0
7595,17114,1906968,gate_30,26,1,0
7596,17118,1907457,gate_40,11,1,0
7597,17120,1907528,gate_30,50,1,0
7598,17121,1907634,gate_30,11,1,0
7599,17122,1907679,gate_40,133,1,1
7600,17123,1907817,gate_30,15,1,0
7601,17125,1908148,gate_40,42,1,0
7602,17127,1908298,gate_30,47,1,0
7603,17130,1908582,gate_30,51,1,0
7604,17131,1908657,gate_40,217,1,1
7605,17134,1908996,gate_30,64,1,0
7606,17135,1909072,gate_30,72,1,0
7607,17139,1909429,gate_40,16,1,1
7608,17141,1909480,gate_30,1,1,0
7609,17142,1909521,gate_40,16,1,1
7610,17143,1909534,gate_40,27,1,0
7611,17144,1909541,gate_30,76,1,1
7612,17149,1910314,gate_40,142,1,1
7613,17150,1910320,gate_30,71,1,0
7614,17152,1910555,gate_30,203,1,1
7615,17153,1910612,gate_30,40,1,0
7616,17154,1910829,gate_40,91,1,1
7617,17155,1910947,gate_40,56,1,1
7618,17156,1911003,gate_30,134,1,0
7619,17158,1911034,gate_30,41,1,0
7620,17162,1911757,gate_30,40,1,0
7621,17166,1911989,gate_40,73,1,0
7622,17168,1912380,gate_30,82,1,0
7623,17170,1912507,gate_30,6,1,0
7624,17172,1912709,gate_40,13,1,0
7625,17174,1913233,gate_40,29,1,0
7626,17178,1913576,gate_30,13,1,0
7627,17179,1913694,gate_40,22,1,1
7628,17180,1913748,gate_40,46,1,0
7629,17181,1913853,gate_40,20,1,0
7630,17182,1913902,gate_30,257,1,1
7631,17184,1914060,gate_30,47,1,0
7632,17185,1914071,gate_30,17,1,0
7633,17191,1914672,gate_40,83,1,0
7634,17194,1914857,gate_30,247,1,1
7635,17197,1915125,gate_40,394,1,1
7636,17198,1915181,gate_40,17,1,0
7637,17201,1915291,gate_30,1,1,0
7638,17205,1915635,gate_40,100,1,1
7639,17206,1915658,gate_30,132,1,0
7640,17207,1915718,gate_30,29,1,0
7641,17210,1916188,gate_40,18,1,0
7642,17214,1916554,gate_40,62,1,0
7643,17215,1916596,gate_30,158,1,1
7644,17216,1916675,gate_40,6,1,0
7645,17217,1916993,gate_40,39,1,0
7646,17218,1917107,gate_40,84,1,1
7647,17219,1917142,gate_40,53,1,0
7648,17220,1917160,gate_40,118,1,1
7649,17222,1917292,gate_30,5,1,0
7650,17226,1917553,gate_40,36,1,0
7651,17232,1918123,gate_30,656,1,1
7652,17235,1918388,gate_40,4,1,0
7653,17237,1918448,gate_30,11,1,0
7654,17238,1918468,gate_30,149,1,0
7655,17239,1918559,gate_30,164,1,0
7656,17241,1918617,gate_30,179,1,0
7657,17242,1918749,gate_40,109,1,1
7658,17253,1919578,gate_40,10,1,0
7659,17256,1920825,gate_40,216,1,1
7660,17258,1921145,gate_30,12,1,0
7661,17260,1921263,gate_30,65,1,0
7662,17261,1921497,gate_40,65,1,0
7663,17265,1921739,gate_30,9,1,0
7664,17266,1921832,gate_30,45,1,1
7665,17267,1921948,gate_30,262,1,1
7666,17272,1922335,gate_40,18,1,0
7667,17273,1922465,gate_40,237,1,1
7668,17274,1922552,gate_40,85,1,0
7669,17275,1922616,gate_30,39,1,0
7670,17276,1922684,gate_40,136,1,1
7671,17278,1922950,gate_40,14,1,0
7672,17279,1922954,gate_40,248,1,1
7673,17281,1923490,gate_30,84,1,0
7674,17282,1923679,gate_30,64,1,0
7675,17284,1924256,gate_30,147,1,0
7676,17286,1924307,gate_40,67,1,1
7677,17293,1925249,gate_30,22,1,0
7678,17294,1925388,gate_30,22,1,0
7679,17295,1925445,gate_30,243,1,1
7680,17297,1925569,gate_40,92,1,0
7681,17301,1926425,gate_30,135,1,1
7682,17303,1926773,gate_40,12,1,0
7683,17304,1926798,gate_40,169,1,0
7684,17307,1926894,gate_30,50,1,0
7685,17309,1927360,gate_40,9,1,0
7686,17314,1927981,gate_40,371,1,1
7687,17316,1928182,gate_30,3,1,0
7688,17318,1928210,gate_40,22,1,0
7689,17319,1928279,gate_30,122,1,1
7690,17320,1928325,gate_40,51,1,0
7691,17322,1928603,gate_30,28,1,0
7692,17323,1928657,gate_30,161,1,1
7693,17325,1928768,gate_40,31,1,0
7694,17327,1929084,gate_40,23,1,0
7695,17333,1929646,gate_40,65,1,0
7696,17341,1930437,gate_30,64,1,1
7697,17342,1930495,gate_40,14,1,0
7698,17343,1930528,gate_40,217,1,1
7699,17344,1930847,gate_30,2,1,0
7700,17345,1931061,gate_40,5,1,0
7701,17346,1931127,gate_40,89,1,1
7702,17347,1931163,gate_40,79,1,0
7703,17348,1931169,gate_30,57,1,0
7704,17349,1931182,gate_40,10,1,1
7705,17350,1931436,gate_30,28,1,0
7706,17354,1931681,gate_40,33,1,0
7707,17355,1931777,gate_40,95,1,1
7708,17356,1931864,gate_30,214,1,1
7709,17357,1931898,gate_30,27,1,0
7710,17358,1931926,gate_40,65,1,0
7711,17362,1932422,gate_30,47,1,0
7712,17363,1932425,gate_40,124,1,1
7713,17364,1932460,gate_40,22,1,0
7714,17369,1933052,gate_40,162,1,1
7715,17374,1933646,gate_30,16,1,0
7716,17378,1934155,gate_40,7,1,0
7717,17383,1934699,gate_40,650,1,1
7718,17385,1934997,gate_30,72,1,0
7719,17386,1935072,gate_30,184,1,1
7720,17388,1935315,gate_30,49,1,0
7721,17392,1935449,gate_30,56,1,0
7722,17393,1935563,gate_40,27,1,0
7723,17394,1935623,gate_40,64,1,0
7724,17396,1936221,gate_30,33,1,0
7725,17397,1936309,gate_30,53,1,1
7726,17400,1937135,gate_30,211,1,1
7727,17402,1937399,gate_30,41,1,1
7728,17403,1937402,gate_30,188,1,0
7729,17404,1937549,gate_30,23,1,0
7730,17406,1937749,gate_30,12,1,0
7731,17411,1938495,gate_30,85,1,1
7732,17414,1938919,gate_40,106,1,0
7733,17417,1939100,gate_40,23,1,0
7734,17418,1939149,gate_40,40,1,0
7735,17419,1939220,gate_30,309,1,0
7736,17426,1939968,gate_30,26,1,0
7737,17427,1940379,gate_40,9,1,0
7738,17428,1940629,gate_30,265,1,1
7739,17434,1941435,gate_30,307,1,1
7740,17436,1941742,gate_30,15,1,0
7741,17439,1942391,gate_40,198,1,1
7742,17440,1942430,gate_40,137,1,0
7743,17442,1942572,gate_30,79,1,1
7744,17446,1943400,gate_40,70,1,1
7745,17448,1943605,gate_40,11,1,0
7746,17451,1943874,gate_40,16,1,0
7747,17452,1943877,gate_40,9,1,0
7748,17453,1943932,gate_40,117,1,1
7749,17455,1944220,gate_40,88,1,0
7750,17456,1944225,gate_30,87,1,1
7751,17458,1944475,gate_40,35,1,1
7752,17461,1944655,gate_30,21,1,0
7753,17464,1945045,gate_30,64,1,0
7754,17465,1945062,gate_40,320,1,1
7755,17466,1945088,gate_40,17,1,0
7756,17467,1945132,gate_40,8,1,0
7757,17468,1945253,gate_40,49,1,0
7758,17469,1945468,gate_40,13,1,0
7759,17471,1945863,gate_40,36,1,0
7760,17473,1946096,gate_30,16,1,0
7761,17474,1946326,gate_40,233,1,1
7762,17476,1946449,gate_30,61,1,1
7763,17482,1946900,gate_40,187,1,1
7764,17483,1946913,gate_30,126,1,0
7765,17485,1947358,gate_30,756,1,1
7766,17486,1947636,gate_40,21,1,0
7767,17488,1947993,gate_40,69,1,0
7768,17489,1948040,gate_30,25,1,1
7769,17492,1948302,gate_40,216,1,0
7770,17501,1949033,gate_40,67,1,0
7771,17506,1949572,gate_40,23,1,0
7772,17508,1949638,gate_30,68,1,1
7773,17509,1950111,gate_40,28,1,0
7774,17510,1950280,gate_30,12,1,0
7775,17512,1950472,gate_30,68,1,0
7776,17513,1950534,gate_40,125,1,0
7777,17514,1950744,gate_40,7,1,0
7778,17515,1950763,gate_30,10,1,0
7779,17521,1951847,gate_30,91,1,0
7780,17523,1952139,gate_40,35,1,0
7781,17524,1952162,gate_30,243,1,1
7782,17525,1952188,gate_40,79,1,0
7783,17526,1952272,gate_30,100,1,0
7784,17528,1952331,gate_40,14,1,0
7785,17529,1952360,gate_40,24,1,0
7786,17532,1952911,gate_30,47,1,0
7787,17534,1953202,gate_30,121,1,1
7788,17540,1953829,gate_30,6,1,0
7789,17543,1954130,gate_40,32,1,0
7790,17544,1954149,gate_40,16,1,0
7791,17549,1955322,gate_40,98,1,0
7792,17553,1955580,gate_30,46,1,0
7793,17556,1956055,gate_30,104,1,0
7794,17557,1956059,gate_40,48,1,0
7795,17559,1956587,gate_40,44,1,1
7796,17563,1957021,gate_40,302,1,0
7797,17581,1958822,gate_30,75,1,1
7798,17582,1958902,gate_40,17,1,1
7799,17584,1959154,gate_30,62,1,0
7800,17587,1959616,gate_30,15,1,0
7801,17590,1959980,gate_40,5,1,0
7802,17596,1960502,gate_40,102,1,1
7803,17601,1961419,gate_40,73,1,0
7804,17606,1961890,gate_30,41,1,1
7805,17610,1962109,gate_40,55,1,0
7806,17611,1962136,gate_30,79,1,0
7807,17614,1962191,gate_40,132,1,0
7808,17615,1962225,gate_40,31,1,0
7809,17617,1962291,gate_30,25,1,0
7810,17618,1962371,gate_30,182,1,1
7811,17619,1962490,gate_40,158,1,1
7812,17622,1963002,gate_40,5,1,0
7813,17625,1963334,gate_40,489,1,0
7814,17626,1963523,gate_40,55,1,0
7815,17627,1963607,gate_30,16,1,0
7816,17628,1963614,gate_40,193,1,1
7817,17631,1963814,gate_40,86,1,0
7818,17633,1963902,gate_30,803,1,1
7819,17635,1964187,gate_40,63,1,0
7820,17636,1964239,gate_40,142,1,0
7821,17637,1964377,gate_40,16,1,0
7822,17638,1964391,gate_30,34,1,0
7823,17639,1964392,gate_40,107,1,1
7824,17640,1964585,gate_40,40,1,1
7825,17641,1964811,gate_40,16,1,0
7826,17642,1965036,gate_40,80,1,0
7827,17643,1965095,gate_30,12,1,0
7828,17647,1965489,gate_30,239,1,0
7829,17650,1965666,gate_40,7,1,0
7830,17652,1965980,gate_40,435,1,1
7831,17653,1966121,gate_30,109,1,1
7832,17654,1966178,gate_40,16,1,0
7833,17655,1966237,gate_30,95,1,0
7834,17659,1966573,gate_30,7,1,0
7835,17665,1967138,gate_30,8,1,0
7836,17666,1967437,gate_30,43,1,0
7837,17667,1967459,gate_30,71,1,0
7838,17668,1967471,gate_30,43,1,0
7839,17670,1967722,gate_30,39,1,1
7840,17671,1967893,gate_30,46,1,0
7841,17673,1967991,gate_30,340,1,1
7842,17674,1968074,gate_40,31,1,0
7843,17675,1968220,gate_40,72,1,1
7844,17677,1968319,gate_30,53,1,1
7845,17683,1969202,gate_30,2,1,0
7846,17687,1969447,gate_40,10,1,0
7847,17688,1969562,gate_30,313,1,0
7848,17690,1969806,gate_40,75,1,0
7849,17693,1970579,gate_30,50,1,0
7850,17694,1970626,gate_30,69,1,1
7851,17695,1970668,gate_30,11,1,0
7852,17699,1970938,gate_30,98,1,0
7853,17701,1971004,gate_40,32,1,0
7854,17702,1971053,gate_30,28,1,0
7855,17703,1971063,gate_40,155,1,1
7856,17705,1971251,gate_40,20,1,1
7857,17711,1972010,gate_30,48,1,0
7858,17715,1972361,gate_30,23,1,0
7859,17716,1972387,gate_40,26,1,0
7860,17717,1972417,gate_40,54,1,0
7861,17718,1972602,gate_30,60,1,0
7862,17720,1972928,gate_40,55,1,0
7863,17721,1972960,gate_40,17,1,0
7864,17725,1973518,gate_40,69,1,1
7865,17726,1973577,gate_40,13,1,0
7866,17727,1973760,gate_30,56,1,0
7867,17730,1974114,gate_40,18,1,0
7868,17731,1974133,gate_40,70,1,1
7869,17736,1974830,gate_40,125,1,1
7870,17737,1974921,gate_40,53,1,0
7871,17738,1975123,gate_30,18,1,0
7872,17740,1975321,gate_40,15,1,0
7873,17745,1975918,gate_30,16,1,0
7874,17746,1975981,gate_30,313,1,1
7875,17750,1976343,gate_30,49,1,1
7876,17753,1976816,gate_30,118,1,0
7877,17754,1976932,gate_30,37,1,0
7878,17756,1977089,gate_30,6,1,1
7879,17758,1977245,gate_40,141,1,1
7880,17759,1977278,gate_30,160,1,1
7881,17762,1977466,gate_40,141,1,0
7882,17763,1977622,gate_30,6,1,0
7883,17765,1978222,gate_40,130,1,0
7884,17766,1978387,gate_40,126,1,0
7885,17769,1978553,gate_40,34,1,0
7886,17770,1978681,gate_40,62,1,1
7887,17775,1978915,gate_40,69,1,0
7888,17776,1978916,gate_40,419,1,1
7889,17778,1979228,gate_40,275,1,1
7890,17779,1979275,gate_40,21,1,0
7891,17782,1979425,gate_40,209,1,0
7892,17783,1979453,gate_30,52,1,1
7893,17784,1979908,gate_30,22,1,0
7894,17785,1979996,gate_30,222,1,1
7895,17786,1980178,gate_40,228,1,1
7896,17789,1980322,gate_40,87,1,1
7897,17790,1980419,gate_30,20,1,1
7898,17792,1980601,gate_40,23,1,0
7899,17798,1981246,gate_30,58,1,0
7900,17799,1981507,gate_30,82,1,0
7901,17800,1981563,gate_30,11,1,0
7902,17803,1982306,gate_30,51,1,0
7903,17804,1982504,gate_40,312,1,1
7904,17805,1982519,gate_40,2,1,0
7905,17806,1982545,gate_40,61,1,0
7906,17809,1982951,gate_40,129,1,1
7907,17812,1983380,gate_40,13,1,0
7908,17814,1983454,gate_40,15,1,0
7909,17825,1984838,gate_30,13,1,0
7910,17826,1984919,gate_40,53,1,0
7911,17828,1985103,gate_40,9,1,0
7912,17829,1985178,gate_30,331,1,0
7913,17831,1985257,gate_40,80,1,0
7914,17832,1985294,gate_30,137,1,0
7915,17835,1985316,gate_40,68,1,0
7916,17836,1985379,gate_30,49,1,0
7917,17837,1985401,gate_40,277,1,1
7918,17838,1985516,gate_30,27,1,0
7919,17839,1985590,gate_30,98,1,1
7920,17840,1985597,gate_30,346,1,0
7921,17841,1985639,gate_30,157,1,0
7922,17847,1986232,gate_40,399,1,1
7923,17849,1986329,gate_40,59,1,0
7924,17850,1986412,gate_30,94,1,1
7925,17851,1986550,gate_40,31,1,0
7926,17853,1986652,gate_40,27,1,1
7927,17854,1986759,gate_40,225,1,1
7928,17855,1986865,gate_30,22,1,0
7929,17862,1987510,gate_30,44,1,1
7930,17863,1987545,gate_30,75,1,1
7931,17864,1987730,gate_30,17,1,0
7932,17872,1988646,gate_40,59,1,0
7933,17876,1988835,gate_30,118,1,0
7934,17880,1989392,gate_30,30,1,0
7935,17881,1989407,gate_30,141,1,1
7936,17882,1989550,gate_40,26,1,0
7937,17885,1989717,gate_30,17,1,0
7938,17887,1989958,gate_40,81,1,0
7939,17888,1990127,gate_40,41,1,0
7940,17891,1990716,gate_30,62,1,1
7941,17893,1991082,gate_40,52,1,0
7942,17894,1991280,gate_30,142,1,0
7943,17896,1991697,gate_40,25,1,0
7944,17899,1992450,gate_40,21,1,0
7945,17900,1992503,gate_40,56,1,0
7946,17901,1992737,gate_40,191,1,1
7947,17902,1992743,gate_30,26,1,0
7948,17903,1992920,gate_30,56,1,0
7949,17905,1993123,gate_40,140,1,0
7950,17906,1993243,gate_40,24,1,0
7951,17907,1993383,gate_30,19,1,0
7952,17908,1993404,gate_30,495,1,1
7953,17909,1993422,gate_40,46,1,0
7954,17915,1994184,gate_30,126,1,1
7955,17917,1994442,gate_40,16,1,0
7956,17918,1994717,gate_30,143,1,0
7957,17921,1994908,gate_30,104,1,0
7958,17922,1994986,gate_40,27,1,0
7959,17923,1995072,gate_30,55,1,1
7960,17925,1995244,gate_40,18,1,0
7961,17930,1995794,gate_30,25,1,0
7962,17932,1995821,gate_40,61,1,0
7963,17933,1995844,gate_40,14,1,0
7964,17935,1995863,gate_40,49,1,0
7965,17936,1995865,gate_30,21,1,0
7966,17937,1995866,gate_30,68,1,1
7967,17939,1995969,gate_40,453,1,1
7968,17940,1996069,gate_40,15,1,0
7969,17943,1996349,gate_40,7,1,0
7970,17944,1996515,gate_30,40,1,1
7971,17947,1996934,gate_30,66,1,0
7972,17948,1997383,gate_40,59,1,0
7973,17952,1997853,gate_40,2,1,0
7974,17959,1998519,gate_40,37,1,0
7975,17960,1998541,gate_30,8,1,0
7976,17961,1998684,gate_30,28,1,1
7977,17962,1998703,gate_40,45,1,0
7978,17969,1999775,gate_40,5,1,0
7979,17972,2000450,gate_40,35,1,0
7980,17975,2000841,gate_40,37,1,0
7981,17976,2000865,gate_30,30,1,0
7982,17978,2001140,gate_40,79,1,0
7983,17979,2001231,gate_40,109,1,0
7984,17982,2001453,gate_30,121,1,0
7985,17984,2001639,gate_30,336,1,1
7986,17986,2001795,gate_40,18,1,0
7987,17989,2002079,gate_40,15,1,0
7988,17990,2002262,gate_30,64,1,0
7989,17991,2002345,gate_30,18,1,0
7990,17992,2002677,gate_30,57,1,0
7991,17995,2003095,gate_30,5,1,0
7992,17999,2003441,gate_30,16,1,0
7993,18002,2003797,gate_40,460,1,1
7994,18003,2003798,gate_40,36,1,1
7995,18004,2004111,gate_40,233,1,1
7996,18008,2004784,gate_30,39,1,0
7997,18012,2005068,gate_30,32,1,0
7998,18014,2005563,gate_40,15,1,0
7999,18015,2005570,gate_30,227,1,1
8000,18016,2005778,gate_40,132,1,1
8001,18017,2005854,gate_40,24,1,0
8002,18018,2005914,gate_30,226,1,1
8003,18022,2006690,gate_40,85,1,0
8004,18023,2006736,gate_40,107,1,0
8005,18024,2006773,gate_30,40,1,0
8006,18027,2007249,gate_40,103,1,0
8007,18036,2008486,gate_30,103,1,1
8008,18037,2008571,gate_30,64,1,1
8009,18039,2009412,gate_40,82,1,1
8010,18040,2009418,gate_30,20,1,0
8011,18044,2009754,gate_40,99,1,1
8012,18050,2010727,gate_30,181,1,1
8013,18054,2010937,gate_30,5,1,0
8014,18057,2011188,gate_40,49,1,1
8015,18060,2011391,gate_40,228,1,1
8016,18062,2011657,gate_30,142,1,0
8017,18064,2011740,gate_40,87,1,0
8018,18065,2011744,gate_30,207,1,0
8019,18069,2012066,gate_40,13,1,0
8020,18072,2012211,gate_40,48,1,0
8021,18073,2012314,gate_40,53,1,0
8022,18078,2013050,gate_40,154,1,0
8023,18080,2013171,gate_40,110,1,0
8024,18083,2013453,gate_30,49,1,0
8025,18085,2014089,gate_40,243,1,1
8026,18087,2014395,gate_40,8,1,0
8027,18089,2014550,gate_40,66,1,0
8028,18093,2015145,gate_30,125,1,1
8029,18094,2015221,gate_40,159,1,1
8030,18095,2015263,gate_40,25,1,1
8031,18101,2016094,gate_30,81,1,0
8032,18102,2016107,gate_30,21,1,0
8033,18103,2016359,gate_40,163,1,0
8034,18104,2016429,gate_30,54,1,0
8035,18106,2016860,gate_40,33,1,0
8036,18112,2017753,gate_40,12,1,0
8037,18114,2018118,gate_30,32,1,0
8038,18116,2018285,gate_40,5,1,0
8039,18119,2018490,gate_40,94,1,1
8040,18120,2018538,gate_40,126,1,1
8041,18122,2018730,gate_40,48,1,0
8042,18123,2018846,gate_30,1,1,0
8043,18126,2019067,gate_40,10,1,0
8044,18134,2020170,gate_30,104,1,0
8045,18135,2020348,gate_30,118,1,1
8046,18136,2020392,gate_40,61,1,1
8047,18138,2020701,gate_30,2,1,0
8048,18140,2021153,gate_30,311,1,1
8049,18141,2021267,gate_40,16,1,0
8050,18142,2021279,gate_30,19,1,0
8051,18146,2021520,gate_40,136,1,1
8052,18148,2021632,gate_40,62,1,0
8053,18149,2021633,gate_40,76,1,0
8054,18150,2021793,gate_30,39,1,0
8055,18153,2022056,gate_40,28,1,0
8056,18156,2022252,gate_40,20,1,0
8057,18157,2022411,gate_30,51,1,0
8058,18158,2022413,gate_40,5,1,0
8059,18160,2022549,gate_30,33,1,0
8060,18162,2022793,gate_40,34,1,1
8061,18165,2023336,gate_40,45,1,0
8062,18171,2023566,gate_40,241,1,0
8063,18173,2023587,gate_40,48,1,0
8064,18175,2023745,gate_30,37,1,0
8065,18176,2023750,gate_40,6,1,0
8066,18178,2024069,gate_30,91,1,0
8067,18179,2024073,gate_30,43,1,0
8068,18180,2024075,gate_40,110,1,0
8069,18182,2024289,gate_30,56,1,0
8070,18185,2024438,gate_40,87,1,1
8071,18190,2024762,gate_40,120,1,1
8072,18192,2024885,gate_30,25,1,1
8073,18197,2025314,gate_30,22,1,0
8074,18198,2025380,gate_40,21,1,0
8075,18201,2025661,gate_30,111,1,0
8076,18203,2025976,gate_30,18,1,0
8077,18205,2026114,gate_40,24,1,0
8078,18206,2026122,gate_40,125,1,1
8079,18207,2026219,gate_40,9,1,0
8080,18210,2026721,gate_30,55,1,1
8081,18211,2026802,gate_30,186,1,1
8082,18212,2026835,gate_30,109,1,1
8083,18217,2027250,gate_30,36,1,0
8084,18222,2027651,gate_40,19,1,0
8085,18224,2027712,gate_40,36,1,0
8086,18226,2027838,gate_30,3,1,0
8087,18229,2028120,gate_40,92,1,0
8088,18231,2028394,gate_30,12,1,0
8089,18234,2028563,gate_30,144,1,1
8090,18239,2029087,gate_40,318,1,1
8091,18241,2029498,gate_30,328,1,1
8092,18242,2029719,gate_40,21,1,0
8093,18245,2029884,gate_40,28,1,0
8094,18246,2029956,gate_30,27,1,0
8095,18247,2030036,gate_40,46,1,0
8096,18248,2030386,gate_30,40,1,0
8097,18250,2030906,gate_40,5,1,0
8098,18252,2031164,gate_40,44,1,0
8099,18254,2031298,gate_40,37,1,0
8100,18256,2031404,gate_40,15,1,0
8101,18261,2031781,gate_30,40,1,0
8102,18263,2032045,gate_30,22,1,0
8103,18264,2032165,gate_40,3,1,0
8104,18267,2032665,gate_40,69,1,0
8105,18269,2032760,gate_30,17,1,0
8106,18271,2033333,gate_30,115,1,0
8107,18272,2033490,gate_30,8,1,0
8108,18275,2033721,gate_30,15,1,0
8109,18280,2035055,gate_40,35,1,0
8110,18281,2035065,gate_40,238,1,1
8111,18282,2035452,gate_40,26,1,0
8112,18283,2035590,gate_40,29,1,0
8113,18285,2036031,gate_30,35,1,0
8114,18286,2036047,gate_40,16,1,0
8115,18288,2036185,gate_30,764,1,1
8116,18290,2036249,gate_40,172,1,1
8117,18292,2036890,gate_40,8,1,0
8118,18293,2036938,gate_40,67,1,0
8119,18295,2037292,gate_40,132,1,1
8120,18296,2037357,gate_40,3,1,0
8121,18297,2037404,gate_30,20,1,0
8122,18298,2037680,gate_30,122,1,1
8123,18300,2038104,gate_30,27,1,0
8124,18301,2038129,gate_30,7,1,1
8125,18303,2038192,gate_30,48,1,0
8126,18305,2038263,gate_40,112,1,1
8127,18306,2038438,gate_30,20,1,0
8128,18307,2038496,gate_40,50,1,1
8129,18309,2038662,gate_40,17,1,0
8130,18312,2038738,gate_40,30,1,1
8131,18314,2038782,gate_30,184,1,1
8132,18315,2038794,gate_40,4,1,0
8133,18318,2039245,gate_40,19,1,0
8134,18324,2039695,gate_30,44,1,1
8135,18328,2040143,gate_40,25,1,0
8136,18330,2040343,gate_40,22,1,0
8137,18331,2040469,gate_30,86,1,1
8138,18334,2040913,gate_40,9,1,0
8139,18339,2041241,gate_30,8,1,0
8140,18340,2041287,gate_30,235,1,1
8141,18349,2042543,gate_40,29,1,0
8142,18353,2043174,gate_30,297,1,1
8143,18354,2043239,gate_30,83,1,0
8144,18356,2043389,gate_30,95,1,0
8145,18358,2043836,gate_40,64,1,0
8146,18359,2043943,gate_40,10,1,0
8147,18362,2044267,gate_30,15,1,1
8148,18363,2044300,gate_40,147,1,1
8149,18366,2044652,gate_40,48,1,0
8150,18369,2044772,gate_30,387,1,1
8151,18370,2044791,gate_30,31,1,0
8152,18379,2045431,gate_40,20,1,0
8153,18381,2045626,gate_40,227,1,1
8154,18382,2045664,gate_40,44,1,0
8155,18386,2045855,gate_40,25,1,0
8156,18387,2045883,gate_40,56,1,0
8157,18388,2046002,gate_40,80,1,0
8158,18394,2046816,gate_40,144,1,1
8159,18397,2047312,gate_30,175,1,0
8160,18401,2047652,gate_40,23,1,0
8161,18402,2047798,gate_30,158,1,1
8162,18403,2047823,gate_30,6,1,0
8163,18404,2048071,gate_40,51,1,0
8164,18407,2048203,gate_40,33,1,0
8165,18411,2048579,gate_30,55,1,0
8166,18412,2048667,gate_40,12,1,0
8167,18413,2048817,gate_30,26,1,0
8168,18420,2049584,gate_30,36,1,0
8169,18422,2049751,gate_30,193,1,0
8170,18423,2049803,gate_30,4,1,0
8171,18424,2050101,gate_40,392,1,1
8172,18426,2050141,gate_40,61,1,0
8173,18427,2050235,gate_30,21,1,0
8174,18428,2050445,gate_40,55,1,0
8175,18431,2050637,gate_40,57,1,0
8176,18435,2051070,gate_30,325,1,1
8177,18436,2051153,gate_40,154,1,0
8178,18437,2051172,gate_30,80,1,1
8179,18441,2051807,gate_30,72,1,0
8180,18444,2051895,gate_30,78,1,1
8181,18445,2051897,gate_40,218,1,1
8182,18447,2052004,gate_40,106,1,1
8183,18448,2052005,gate_40,91,1,1
8184,18451,2052311,gate_40,4,1,0
8185,18452,2052344,gate_30,100,1,0
8186,18453,2052592,gate_30,4,1,0
8187,18454,2052604,gate_40,13,1,0
8188,18458,2052895,gate_30,622,1,1
8189,18462,2053206,gate_40,11,1,0
8190,18465,2053593,gate_30,143,1,1
8191,18466,2053718,gate_40,40,1,0
8192,18469,2054216,gate_30,23,1,0
8193,18470,2054242,gate_30,12,1,0
8194,18472,2054411,gate_40,86,1,0
8195,18474,2054466,gate_30,214,1,0
8196,18492,2056668,gate_30,63,1,1
8197,18499,2057240,gate_30,14,1,0
8198,18500,2057278,gate_30,9,1,0
8199,18501,2057344,gate_30,11,1,0
8200,18502,2057414,gate_30,34,1,0
8201,18503,2057438,gate_30,31,1,0
8202,18504,2057552,gate_30,16,1,0
8203,18507,2058586,gate_30,29,1,0
8204,18508,2058635,gate_30,68,1,1
8205,18510,2058696,gate_40,74,1,1
8206,18511,2058727,gate_40,10,1,0
8207,18512,2058777,gate_40,5,1,0
8208,18513,2058798,gate_40,28,1,0
8209,18514,2058862,gate_30,26,1,0
8210,18515,2058957,gate_40,94,1,0
8211,18520,2059592,gate_30,40,1,1
8212,18529,2060931,gate_40,151,1,0
8213,18531,2060975,gate_30,90,1,1
8214,18537,2062108,gate_30,67,1,1
8215,18538,2062202,gate_40,19,1,0
8216,18545,2063630,gate_30,166,1,1
8217,18547,2063897,gate_30,77,1,1
8218,18548,2063988,gate_40,120,1,1
8219,18549,2064005,gate_40,62,1,0
8220,18550,2064296,gate_30,36,1,0
8221,18551,2064312,gate_30,49,1,0
8222,18557,2064866,gate_40,107,1,0
8223,18558,2064926,gate_30,27,1,0
8224,18561,2065034,gate_30,98,1,1
8225,18562,2065138,gate_30,22,1,0
8226,18565,2065419,gate_30,76,1,0
8227,18568,2065543,gate_30,212,1,0
8228,18570,2065754,gate_40,209,1,0
8229,18572,2065893,gate_30,145,1,0
8230,18575,2066247,gate_40,7,1,0
8231,18576,2066295,gate_30,27,1,0
8232,18577,2066847,gate_40,8,1,0
8233,18579,2066942,gate_30,390,1,1
8234,18580,2066948,gate_30,10,1,0
8235,18581,2067297,gate_30,180,1,1
8236,18582,2067298,gate_40,39,1,0
8237,18583,2067299,gate_30,14,1,0
8238,18586,2067556,gate_40,1816,1,1
8239,18589,2067911,gate_30,137,1,0
8240,18592,2068205,gate_40,10,1,0
8241,18593,2068565,gate_40,17,1,0
8242,18594,2068618,gate_30,48,1,0
8243,18595,2068624,gate_30,22,1,1
8244,18596,2068784,gate_30,2,1,0
8245,18597,2068933,gate_30,19,1,0
8246,18600,2069259,gate_40,12,1,0
8247,18601,2069308,gate_30,52,1,1
8248,18602,2069434,gate_30,66,1,1
8249,18604,2070014,gate_30,43,1,0
8250,18607,2070444,gate_40,101,1,0
8251,18608,2070445,gate_30,173,1,1
8252,18610,2070768,gate_40,322,1,1
8253,18611,2070835,gate_30,81,1,0
8254,18612,2070839,gate_30,166,1,1
8255,18613,2070919,gate_40,154,1,1
8256,18614,2070945,gate_30,22,1,0
